2015-03-14 01:32:25.747,184,77542.91169387501,-0.09088134765625,0.26458740234375,-0.95135498046875
2015-03-14 01:32:26.862,185,77544.01112712501,-0.0907745361328125,0.26654052734375,-0.9532928466796875
2015-03-14 01:32:27.954,186,77545.10918804166,-0.0879974365234375,0.2636566162109375,-0.9512481689453125
2015-03-14 01:32:29.040,187,77546.2042625,-0.090911865234375,0.25958251953125,-0.9541778564453125
2015-03-14 01:32:30.135,188,77547.29926500001,-0.08709716796875,0.262664794921875,-0.94927978515625
2015-03-14 01:32:31.262,189,77548.394266,-0.09478759765625,0.26251220703125,-0.953399658203125
2015-03-14 01:32:32.330,190,77549.488340875,-0.0889129638671875,0.2615966796875,-0.9550933837890625
2015-03-14 01:32:33.423,191,77550.586935375,-0.087890625,0.2656097412109375,-0.95318603515625
2015-03-14 01:32:34.566,192,77551.68143537501,-0.0831756591796875,0.260711669921875,-0.951995849609375
2015-03-14 01:32:35.606,193,77552.77065533334,-0.090911865234375,0.26458740234375,-0.9503936767578125
2015-03-14 01:32:36.699,194,77553.86339504167,-0.088104248046875,0.2626800537109375,-0.9483489990234375
2015-03-14 01:32:37.792,195,77554.95767729168,0.019134521484375,0.296539306640625,-0.9862518310546875
2015-03-14 01:32:38.905,196,77556.05370358334,-0.1330413818359375,-0.44580078125,-0.8506317138671875
loggingTime,loggingSample,accelerometerTimestamp_sinceReboot,accelerometerAccelerationX,accelerometeraccelerationY,accelerometeraccelerationZ
2015-03-14 01:32:41.079,1,77558.24349358334,-0.1586456298828125,-0.483154296875,-0.872222900390625
2015-03-14 01:32:42.213,2,77559.33897791668,-0.1576690673828125,-0.6349945068359375,-0.6963043212890625
